Date/Time,Word Count,de,en,es,fr,it,ja,ko,pl,pt,ru,th,tr,uk,zh,zh-Hans-CN-CNVER,zh-Hant
2025.05.21-14.21.24,309794,213114,213364,209663,213114,0,213132,213136,0,213114,209663,0,0,0,309794,0,202186
2025.05.21-16.35.36,309794,213114,213364,209663,213114,0,213132,213136,0,213114,209663,0,0,0,309794,0,206343
2025.05.22-12.24.46,309811,212825,213075,209374,212825,0,212843,212847,0,212825,209374,0,0,0,309811,0,206054
2025.05.22-12.31.58,309811,212825,213789,209374,212825,0,212843,212847,0,212825,209374,0,0,0,309811,0,206054
2025.05.22-15.23.32,309811,212825,213789,212847,212825,228886,212843,212847,228886,212825,212847,228886,228886,228886,309811,0,206054
2025.05.23-11.38.57,309811,212825,213789,213319,212825,228886,212843,212847,228886,212825,213319,228886,228886,228886,309811,0,206054
2025.05.27-17.56.38,310309,212197,213216,212691,212197,228306,212215,212219,228306,212197,212691,228306,228306,228306,310309,0,205426
2025.05.28-14.35.50,310309,212445,213464,212735,212445,228306,212463,212467,228306,212445,212735,228306,228306,228306,310309,0,205539
2025.05.29-11.25.02,310309,212445,213464,212939,212445,228306,212463,212467,228306,212445,212939,228306,228306,228306,310309,0,205539
2025.06.04-15.12.43,310868,212289,213308,212783,212289,228073,212307,212311,228073,212289,212783,228073,228073,228073,310868,0,205383
2025.06.04-15.27.24,310868,212342,213361,212836,212342,228073,212360,212364,228073,212342,212836,228073,228073,228073,310868,0,206034
2025.06.05-15.29.32,310868,212940,213480,213434,212940,228073,212958,212962,228073,212940,213434,228073,228073,228073,310868,0,206034
2025.06.13-13.23.41,313929,212561,213101,213055,212561,227386,212579,212583,227386,212561,213055,227386,227386,227386,313929,0,205655
2025.06.13-13.34.56,313929,212923,213261,213417,212923,227386,212941,212945,227386,212923,213417,227386,227386,227386,313929,0,205815
2025.06.19-21.02.21,311545,212845,213183,213339,212845,222008,212863,212867,222008,212845,213339,222008,222008,222008,311545,0,205737
2025.06.19-21.07.18,311545,214981,215319,215475,214981,222008,214999,215003,222008,214981,215475,222008,222008,222008,311545,0,207975
